account,username,text
asumsico,pablo.es.degan,"Berikut adalah beberapa ide menu makanan hemat dengan harga sekitar Rp10.000 per porsi, cocok untuk makan sehari-hari:

1. Nasi Telur Balado

• Bahan:
• Nasi putih (Rp4.000).
• Telur (1–2 butir, Rp3.000–4.000).
• Sambal balado (Rp2.000).
• Total: ±Rp9.000.

2. Nasi Tahu Kecap

• Bahan:
• Nasi putih (Rp4.000).
• Tahu goreng (2 buah, Rp2.000).
• Sambal kecap + bawang (Rp3.000).
• Total: ±Rp9.000.

3. Bubur Ayam Sederhana

• Bahan:
• Beras untuk bubur (Rp3.000).
• Kaldu ayam/sayur (Rp2.000).
• Sisa daging ayam suwir (Rp3.000).
• Kerupuk kecil (Rp1.500).
• Total: ±Rp9.500.

4. Nasi Tempe Orek dan Sayur

• Bahan:
• Nasi putih (Rp4.000).
• Tempe (Rp2.000).
• Sayur bening bayam atau kangkung (Rp3.000).
• Total: ±Rp9.000.

5. Nasi Uduk + Sambal Goreng

• Bahan:
• Nasi uduk (Rp5.000).
• Telur dadar/tahu goreng (Rp3.000).
• Sambal sederhana (Rp2.000).
• Total: ±Rp10.000.

6. Pecel Sederhana

• Bahan:
• Nasi putih (Rp4.000).
• Sayuran rebus (Rp3.000, seperti tauge, kacang panjang, kangkung).
• Sambal pecel (Rp3.000).
• Total: ±Rp10.000.

7. Mie Goreng Ekonomis

• Bahan:
• Mie instan (Rp3.000).
• Telur (Rp3.000).
• Sayur sawi/toge (Rp3.000).
• Total: ±Rp9.000.
Saran🙏🏼"
asumsico,gunturswrdk,blokkk😂
asumsico,fazrisywbznntdm,58% voters menyukai postingan ini
asumsico,vivifajrik,Mending gasido wae pak. Uange buat pemerataan fasilitas pendidikan wae
asumsico,latife_muntilan,"Itu kalau ngitungnya per porsi ya dikit. Tapi coba gini deh ngitungnya Satu kelas 25 siswa berarti total 250ribu sekali makan. Itu kalau di jogja or magelang cukup untuk masak gule ayam 1 ekor untuk satu kelas plus nasi lalapan dan minum. Segitu sudah untung banyak, tapi gak tahu juga kalau itung itungan daerah lain"
asumsico,marufdoli,mr inconsistent
asumsico,rwin.kiyutz,Percuma Pak 😂😂 wakil nya cuma bisa bagi-2 susu
asumsico,gengxenggol,HAHAHAHAHHAHAHAHAHAHAHAHHAHAHAHAHA
asumsico,adam_pratamaaa01,10.000 dari pusat..... Sampai ke vendor mungkin cuma 5.000. Begitulah fakta yang sering terjadi. 😂
asumsico,sssuugihh,"Koar koar negara macan asia, macan kok makannya rumput 10rb"
asumsico,aghnescynthiamonica,"Ga cukup pak presiden. Dikantin sekolah anak saya aja jual bakso seporsi 20 rb belum es teh nya. Masa budget 10 rb? Yang bener aja pak presiden @prabowo
Ini kasihan nasib anak-anak di beberapa daerah terpencil yang sudah mengalami Stunting, malah jadi makin stunting pak. Belum lagi dana yg nyampe di pangkas juga sama org dibawah? Apakah dijamin akan mendapatkan gizi yg seimbang dg budget seminim itu? Saya rasa sangat perlu dikoreksi kembali untuk kebijakan makan gratis nya sebelum diputuskan. Apa lagi ini termasuk janji utama bapak ke seluruh rakyat Indonesia👏 🇮🇩"
asumsico,niken_ariesta_,"Lah kok 10 rebu, 10 rebu mah uduk 😭"
asumsico,inggiok14,"Lu kampanye asal bacot sih, gak ngitung."
asumsico,fajarian_adss,"Nohkann, ngeyel si 58% 🤭"
asumsico,iam.andijulianto,Awokawokawokawok
asumsico,riakas1m,😂😂😂
asumsico,rndyanarifm,😂
asumsico,novitavigi,🔥
asumsico,oyenbooks,Hahaha😂😂😂
asumsico,pryapradipta,"Beli Batagor aja klo 10Rb Pak, Batagor enak juga kok"
asumsico,dowondo,Jogeeeeeet 😂 oke gas oke gas karepmu
asumsico,sshabruns,Wkwkkw
asumsico,sahrul.ikhsann,"@prabowo saran saya pak, data nya tolong dicek lagi dan diperbarui lagi pak. biar nanti tidak ada salah sasaran"
asumsico,edsa.ap,Nasi padang 12ribu pake ayam bakar
asumsico,ahmed_tessario,Makan cimol ..?
asumsico,razqi_arfiyandi,"Gpp 10rb tp jgn pake nama makan bergizi, ganti makan secukupnya, tambahin ntr dikotaknya pake tulisan jangan lupa berdoa dan bersyukur..😂"
asumsico,falhawarizmi,10 ribu banyak potongan nya lagi ngga ya ntar jadi 500 perak lagi
asumsico,yircasakti,ngawur sih programnyaa
asumsico,salt.andwater,"mulai omon """
asumsico,flywithatr,OKE GAS OKE GAS🔥🔥🔥😍😍😍
asumsico,ibad.in,Paling sampe siswa tinggal bakwan
asumsico,novian_alfa,"Di daerah saya 10k dapet kok, apalagi skala besar bahan bakunya akan lebih murah...semoga sampai bawah tetap 10rb ❤️❤️"
asumsico,dwi.aww,"Saya blm dapet sprei, Pak..."
asumsico,hail_satam666,Bodo amat
asumsico,r.keroppi,omon omon gas..
asumsico,ilham_akbarsamudra,Jangan dipaksakan..alihkan ke program lain saja 😢😢😢
asumsico,ilhamsants_7,Misal belum mampu mungkin bisa ditunda dulu jangan dipaksakan sembari mencari anggaran agar program lebih efektif mungkin bisa diselenggarakan ditahun 2026 atau diprioritaskan jenjang sekolah tertentu dulu agar lebih efektif dampaknya🙏 @prabowo @gibran_rakabuming @gerindra
asumsico,bmwisjnu,makanan bergizi 10rb itu apaan pak kok lucu sekali
asumsico,robisabili,Wkwkwk
asumsico,priastandart,"Makan bergizi gratis 10 ribu, terus kantin sekolah kena pajak 😂"
asumsico,manx_merta,Kalah sama paket hemat ojol
asumsico,lubis06,kita mah rakyat dukung aja pak 😂😂😂😂😂😂
asumsico,jolie_lielim,Sampe daerah tinggal berapa nih 😂
asumsico,yuda_brahmana,Buahahahaha... su
asumsico,aryaantt_,hahaha
asumsico,ibgooner.jpeg,😂
asumsico,alpiannn_______,Pertengahan tahun depan dipotong lagi jadi 8000
asumsico,znugr4h4,Ngga apa2 di potong brp pun jg yg penting masih ada tenaga buat joget2. Oke gas oke gas
asumsico,zuari_anzar,Janji 15 ribu. Setelah itu 10 ribu. Nanti yg sampai di daerah tinggal berapa ya?
asumsico,king_hidayat17,Anggaran anggota DPR yg gak pnting2 amat bisa dipotong pak?
asumsico,whoisthisindah,THE REAL OMON OMON ANG ANG ANG
asumsico,vriskerusniko,10ribu kayaknya cuma dapet jus ikan stroberi sih
asumsico,punyaku_73,"Dapet banyak bang, cukup kok untuk porsi 1 anak"
asumsico,mssscrookedtail,😂😂😂😂
asumsico,ninikalfatih,"Mending pas rapat bahas pajak aja pak. Pajak gausah naik, biar duitnya di pake buat beli bahan makanan bergizi buat keluarganya. Jd bapak gausah pusing2 nyiapin makan siang"
asumsico,aandirga,seharga cilok dikantin yaa..
asumsico,strowbweri,Baru sebulan udah amburadul😎🍿
asumsico,astridnisca,Jogetin ajee gass
asumsico,edwintander,Dagelan
asumsico,yudhaadhi715,"Belum nanti dikorupsi nya pak,. wkwk sampe rakyat berpa? 5 rebu?"
asumsico,ansaresi.al,Wkwkw
asumsico,herryhermiawan,"Sesungguhnya pengurangan anggaran untuk makanan bergizi gratis itu bisa dilakukan dengan tetap berpatokan gizi yang dibutuhkan tetap tidak berkurang atau dikurangi. artinya selama gizinya terpenuhi pengurangan tersebut tidak masalah. Yang bisa jadi masalah bila target gizinya berkurang. karena target pemberian makanan bergizi tersebut tidak tercapai. Alangkah baiknya pemerintah merencanakan pemberian makanan bergizi tersebut dengan cermat dan teliti serta membuat berbagai alternatif yang baik untuk menjalankannya.Misalnya mengurangi biaya kemasan makanannya dengan menggunakan tempat makan yang bisa digunakan berulang. atau bisa juga junlah hari perminggunya dilakukan secara bertahap mis 3 hari,lalu 4 hari dan 5 hari. selain menghemat anggaran, dengan cara bertahap, pada tahap awal 3 hari ,anggap saja sebagai latihan menuju ke 4 hari dan 5 hari..atau apapun bentuk strategi operasional yang akan dilaksanakan seperti apa ngga masalah sejauh target gizi yang akan diberikan tidak dikurangi. dengan tujuan target utama program tersebut tidak diabaikan karena keterbatasan anggaran."
asumsico,megurubach1,oke gas oke gas🕺🏻👯
asumsico,findmuylife,"Daah laah gpp gak usahbad makan gratis, tp kenaikan pajak dibatalkan, iuran tapera gak perlu ada, dana pensiun mantan menteri dan presiden seumur hidup gak usaah adaa.."
asumsico,izzatirifdah,Ketoprak ngider aja 12rebu pak
asumsico,rraddenn,lebih baik batal sajeu pak🙏🏻 belum waktunya pakkkkkk
asumsico,dikarahmat97,Sama apa aja bos
asumsico,dluis99,"Besok dipotong lagi jadi 0, alias mangkrak 🤣"
asumsico,kvnarsm,garpit 3 batang sisanya granita
asumsico,dipanggil_hapid,tak kiro etunganku tok sik luput
asumsico,fraudlein,😢
asumsico,xstmrg,Sepuluh ribu mah bisa bikin sendiri. Ngapain pake makan siang gratis?
asumsico,jonathanzaitsev,Kasi aja multi vitamin beres 🤣
asumsico,hery_setiawan88,Snack rapat DPR aja 10X lipat.meeting hampir setiap hari
asumsico,bluecuracaooo,Programnya yg sungguh menyusahkan ya pak😂
asumsico,adiisufian,Snack acara leyeh2 berkedok rapat staff rendahan di gedung Manggala wanabakti komplek DPR aja 30rb/box nya pak
asumsico,faisaljkt_,10 rebu indomie warkop + sujamer panas panas tuh perut😂
asumsico,rory23_,itu imin?
asumsico,yuzhar_achmad,Snack rapat kalian aja lebih mewah loh 😂😂😂😂😂
asumsico,ozzyprtma,cihuyy
asumsico,kingbuana,"Yang dipotong itu harusnya: fufufafa sekeluarga, soehart* dan kroninya, jumlah menteri dan wamen, tunjangan2 ga penting pejabat, itu yg kudunya dipotong moy gemoy."
asumsico,hidayati_rochmah,Terlalu memaksakan.. program yg ga masuk akal.. 😢 dari pusat 10rb nyampe siswa dapet brp😢
asumsico,oong181,😂😂😂😂😂 dapet apa 10000rb
asumsico,luthfirzn,"izin pak somay 10 rb sekarang aja tepung aja pak @prabowo g cukup pak, mending utk pemerataan pendidikan atau beasiswa anak2 yatim dan kurang mampu saja pak better than, izin memberikan masukan"
asumsico,axinmaulana,"Gak nipis pak , coba bapak potong anggaran untuk anggota DPR ,mulai dari tunjangan tunjangannya mungkin bs cukup sm anggaran ga guna dari pemerintah untuk proyek ga guna 🙌"
asumsico,ibnuinuu,esemka 🤝 makan siang
asumsico,sponandiko,Pada saat mengumumkan apa tidak bisa membayangkan 10K dapat apa?
asumsico,kcyani82,😮
asumsico,kei_karin97,"Janji manisnya kemulukan. Warga Indo tuh bejibun dan bisa2nya mempermainkan urusan perut org banyak. Yg milih kemakan janji itu juga sama aja sih, terlalu berharap kalian sama manusia. Gimana anggarannya ga terbatas, kebanyakan dikorup duitnya. Utang negara aja masih terus berjalan. Ujung2nya rakyat lagi yg nanggung biayanya."
asumsico,satriyaade,"Untuk di beberapa daerah mungkin cukup, tp kalau di kota2 yang sudah ada standar layaknya itu terlihat memang sedikit"
asumsico,desyarama,dah cancel aja gasi
asumsico,asmana.hd,Mending cancel aja deh dan baiknya dialokasikan ke yang lebih prioritas.. 👏🏽
asumsico,gitaaaaaaaaa_____,😂
asumsico,delta_aksa13,Mendingan gak usah gpp kok insyaallah yang seharusnya kebagian pun masih pada bisa makan walaupun tanpa makan gratis 10 ribu dari bapa
asumsico,i_m_7im,"Ngp ndk Gaji, tunjangan, dll kalian aj yg d potong. Masa uang makan rakyat yg d potong😂"
asumsico,artdenx,"Pada ngga punya nalar, masa ada program memberi makan gratis, seluruh indonesia lagi, itu yg 58% juga percaya, haadeeehhh, mentalitas inlander"
asumsico,mutiara4560,Ga 5 ribu aja pak dpt aqua
asumsico,ihwanul.2808,Hehe
asumsico,rezakurniawan_sk,@iamdianwr 5rb kan bisa itu makan pake mie balap😂😂
asumsico,jerry_sama,Oke gas oke gas 🕺🕺
asumsico,anjursidabutar,"Anggaran 10rb, kurangi ppn 11% kurangi keuntungan vendor 12% realnya sampai rakyat ya maks 7rb. 7"
asumsico,sharondjoentak15,Potong terus 😂
asumsico,revi_9393,Ide si baterai kembung ternyata lawak 😂😂😂
asumsico,sultansulaimannn,The real Omon omon
asumsico,avocadoavocados,Potong gaji pejabat dan naikin anggaran buat rakyat apa susahnya
asumsico,clinkz_finden,HAHAHA gw ketawain !
asumsico,dzikrymuhamadd,Haha
asumsico,sonneeaa,Ak Juga Mw Makan Gratis 😋🍯
asumsico,maradeva__,😂
asumsico,ekanjay_,Tabrak tabrak masuukk
asumsico,arissunandar92,Bulan depan 7.500
asumsico,alamsyahnurseha,"Tetep ya, yang dipangkas gak mungkin tunjangan pejabatnya, yang dipangkas yaa itu-anu ... Eh pajak juga naik ya? Sedia pangkas rambut, untuk manjangin 58%..."
asumsico,hotmian_sitio,"10 ribu ga masuk akal kalau dapat makanan bergizi gratis,stop saja,anggarannya alihkan ke yang lebih bermanfaat"
asumsico,maryreth,"Program utama waktu kampanye, tp pelaksanaan kok jd gini. Coba kalo d US sana, diketawain."
asumsico,hendra_userig,😢
asumsico,rizkymarsaorsihombing,Mending batalin aja pak daripada timbul masalah baru
asumsico,nasution_habeb,makan apa tu pak kalau boleh tau?
asumsico,bayuwidyarso,Pas kampanye ada di negara mana pak?
asumsico,man.januarr,"Lah kmren kan dapet suntiksn hibah dari china, masa ga bisa nambah dikit. Wkwkwk ."
asumsico,johandikin_hs,Sungguh cm scala prioritas saja- Yg ini harusnya ditambah bukan dipotong. Mari kita dengan narasi variable cost anggaran mana yg ditambah😂😂
asumsico,uki_bramastha,10rb mah blm dapat minuman air putih yang sering kalian pake rapat
asumsico,adrianshndy,"Pentingnya prioritas program, yg lain kemaren pada minta tambah anggaran 😂"
asumsico,pin.guinpink,"bahkan di kantin kampus kalau mau dapet makanan bergizi minimal banget 15k, itu kalau beli langsung. bukan yang sistem vendor atau catering. heran apbnnya buat apa aja ya? karena kan ini program yg selalu mereka gembor2in tapi kok bisa2nya dipotong jadi segitu?"
asumsico,agus6313,"Kenapa tidak yang 10rb uang makan para menteri dikabinet bapak saja,giliran kasih makan rakyat bergizi 10rb."
asumsico,sofyan_kautsar,"Batalin saja pak, gak guna"
asumsico,kumuluknimbus,Nah kaann
asumsico,maczchester,58% oke gas oke gas😂😂😂
asumsico,bangkit.lukmana,😁😁😁😁😁😁😁😁😁😁
asumsico,pratyaksa_,Asikkk bergizi sekali❤️
asumsico,andikaarina,Susu di bagi² itu framing doang 😂
asumsico,mhmmdkalaam,😂😂😂😂
asumsico,mhmmdkalaam,"Pendidikan lebih prioritas, rubah budaya itu utama, jgn selalu berpandangan namanya juga +62, rubah pola pikir dimana +62 juga bisa pesat faktor pendidikan nya bukan malah menormalisasikan pendidikan liberal🙌"
asumsico,benidwijays,"Wkwk gausah aja gausah ambil itu anggaran makan gratis, buat nutup pajak yang gede bgt 😄"
asumsico,arisetiyoo,Martabak mini manteb
asumsico,dhany_indra07,Anggaran 10rb bertahan selama ???
asumsico,titikpucat,"10rb awalnya, kena potong sana sini jd brp ya :("
asumsico,kunnugrohox,Gak usah dipaksain... ngikut program rival bapak saja gpp🤭
asumsico,aini_nur2517,Wkwkwkkwkwkwk
asumsico,aini_nur2517,"Emang sulit pak program bapak, sulit sulit semua"
asumsico,ootoyyotoo,"Pemegang vendor yang sudah deal, sudah siapkan panci mendadak pening 😍"
asumsico,just.dahlan,gasssss 🔥🔥🔥
asumsico,ketty.yk,10rb dpt bawan 3 bji ja it dsni 😂
asumsico,sjahnanda,Mendiing gak usah aja!!!!
asumsico,satriaandy,10rb batagor jg cuma dapet kerupuk pangsitnya doang...😂
asumsico,doniitrx,Awik wokkk lol
asumsico,hasanwindoyo_,10 ewu rek😂
asumsico,diorsfrugalliving,program unggulan aja begini gmn yg laen cb
asumsico,adepurnama1_,Belum juga 1 THN Uda di potong😢
asumsico,najwa_alhamid,👏👏👏👏🔥🔥
asumsico,failurexsuck,Bahahaha hahaha....buzzer ga ada yg kerja ini?!?!
asumsico,m.rayhan_asyari,Omke gas
asumsico,rb14n,Merakjat
asumsico,m.rayhan_asyari,Kalo mau cut vendor pake kupon langsung 20 ribu tapi dikontrol ahli gizi makanan sembako apa yang dibeli dan ibu ibu juga diajarin masak yang bergizi jadi ada bekel dan lumayan potong buat vendor
asumsico,eibramsiringoringo,Wkwwwkwkkkwkwwwkwkwkwkwkwkwk
asumsico,azzzzzeeerrrr,Kacau kacau
asumsico,gilangfauziofficial,Bubur kacang ijo sama teh anget tawar…
asumsico,rachmandasandy,"Maaf pak ini kyknya cmn bisa 1x dpt, bkn tiap hari sekolah kyk negara 2 lainklo mau perbaikan gizi + tingkat tinggi bdn d naikin"
asumsico,hadifsantoso,1 keluarga 1 sarjana 😊
asumsico,fakhdinnul,"Tenang kaum 58% tinggal joget aja😂😂😂. Itulah yang klen ingin kan, jadi terima aja. 😂"
asumsico,retno.rwuri,"Pak, ajak kolaborasi masyarakat mungkin bisa. Indonesia, warganya rajin sedekah loh. Asal transparan"
asumsico,wasilahatt,Weci weci weci
asumsico,30_zein,10rb dapet apa yaa makan dijakarta ?
asumsico,krisanda_sinaga,"sudah lah pak, umumkan saja kalau ada rencana prgram ini mau dibatalkan. penerimaan pajak kita saja tekor utk tahun ini. jangan sampai nambah terus utang kita pak😮"
asumsico,akmalarsalan,😂
asumsico,ismailnazari527,Hapus saja! Sudah jadi president ini😂
asumsico,diooalfano,sego endog ro club ae pakde
asumsico,jhejhe_r1010,Ribet! Udah ga usah makan siang aja lah
asumsico,poyy_1933,"Saran gua sih jangan baca di satu media aja, nanti sesat di jalan jatohnya marah"" Mulu salah mulu santaiiiiiiii"
asumsico,umi8595,Jangan 10 ribu lah pak
asumsico,budikurniawanchaniago,"Perasaan udh banyak dah contoh dr negara negara maju, kalau mau keluar dari keterpurukan, perbaiki dulu pendidikan setelah itu kesehatan."
asumsico,ukhaaaaa_,😁😁
asumsico,putriaylin,👏👏👏
asumsico,fil.dza_,"Jangan lupa keluarin report/laporan yang membuktikan bahwa 10.000 terbukti bisa bergizi ya, Pak. Karena kalau diliat, snack pemerintahan kalau “rapat” sih pasti lebih dari 10.000 ya"
asumsico,ekaboanerges,"menurut kemendikbud ada 53.2 juta murid di Indonesia, kalo semua dapet 10k, butuh ±532 miliar/hari atau ±13 triliun perbulan"
asumsico,raihanuuuun,"Anggaran terbatas hanya untuk rakyat, tapi tidak untuk golongan kalian"
asumsico,wijayaadtm,seblak goceng nasi goceng kenyang lahh😂
asumsico,giftyniwana,Harusnya bukan uang makan yang dipotong tapi para menteri dan pasukan khusus presiden yang dikurangin
asumsico,khanzaarslan,Janji nya sih pd di gratisin semua 😂😂
asumsico,"2,528 likes",
bisniscom,jimmynoraz,"Itu yang komen nasi sama telor doang, masih untung ada proteinnya, gua takutnya cuma dikasih nasi sama pisang doang😂🤣"
bisniscom,yurypw,Nasi telor dadar n sayur... Fix
bisniscom,muhdavidricardo,"Sampai anak tinggal 5k, disunat untuk keperluan adminstrasi dan studi banding ke gambia utara. cukup kok budgetnya buat nasi sama kuah sop🔥"
bisniscom,ketipufilter,Dengan 10.000 kita bisa kok makan bergizi contoh:2 Energen 1 promag 1 susu
bisniscom,yusron26_,Kemarin 15
bisniscom,kevin_hardison,"Menyusut terus, lama2 5 rb 😅"
bisniscom,ani.berta,Kamari ceunah 15rb naha dikurangan deui
bisniscom,rhmn.ainur,njir belom juga 3bulan udah nyusut aja yg katanya 15k😂
bisniscom,yudha_yudha.ig,Kasih telor mentah aja digoreng dan makan di rumah 😂😂
bisniscom,jimmysahureka,12 rebu lah pak
bisniscom,hj.ifa_arief83,"10rb dapat utk anak-anak itu bukan makanan bergizi , itu namanya makanan prihatin 😂😂"
bisniscom,gallsatriana,"Lama"" 1000 bala bala doang 😂"
bisniscom,mas_ud_mf,10ribu itu cukup jika masak sendiri di kantin tapi jika pakai jasa pihak ketiga belum lagi potongan2 tertentu gak tau bakalan cukup apa gak
bisniscom,hamdany_fareza,swbaiknya di tf langsung ke wali murid suoaya Aman ✅🇲🇨
bisniscom,sukriadi_simanjuntak,Kalau buat anak bawa bekal dari rumah aja ya lae @harpenaritonang l😂😂😂😂
bisniscom,mhmmd_asmui,Nasi uduk aja itu msh🤣
bisniscom,ikhwan2a,Kok di sunat?
bisniscom,bangpai_190592iw7w829wue9osjej,Kok komennya nyinyir semua yak hmm
bisniscom,g._.cdr,Budget 10K belum dikurangi penyunatan Oknum.
bisniscom,firmanqurrota,Yang makan anak anak sekolahan.. Yang nyinyir yang ga ikut makan + ga ikut sekolah 😂😂😂
bisniscom,anggitab09,10rb ga ada susu dong..susu grandfield aja udh 10rb sendiri 😂
bisniscom,gdananjaya92,Ngeliat kelakuan pejabat sini sih ga bakal ceban sampe ke bawah 😂😂😂
bisniscom,galileogalileison,"Kok ga ada yg komen ""menyala presidenku"" lagi???"
bisniscom,brahim.diaz__,Negara miskin tapi sok kaya 🤣🤣
bisniscom,febrian282,"Harusnya 50rb/porsi, supaya sampe ke penerima nya bisa pas 10rb/porsi. Kalo anggarannya 10rb/porsi sampe penerima bisa2 ga sampe 5rb/porsi setelah sunat sana sini 😌"
bisniscom,sultansulaimannn,Serba ceban
bisniscom,bunne_nuris,😂😂😂
bisniscom,herdhannie,"Naspad aja udah 12 rebu belum tentu bergizi, micin doang"
bisniscom,uadero_92,Masih mending Gratis
bisniscom,martkiddy,10 rb di jakarta nasi telor aja ga dapet
bisniscom,mbakwin8,Kan anggaran nya mau buat bayar semua guru katanya
bisniscom,esa_lebdomituhu,Nasi telur ceplok
bisniscom,arif_sarkali,Lumayan
bisniscom,jong_diana,Diturunin lagi ?
bisniscom,makandijabodetabek,Kerjasama dengan swasta sepertinya bisa
bisniscom,kinan_07,Besoknya jd 7500😂
bisniscom,satya_suy,10ribu dapat apa?
bisniscom,b_kombara,Dulu ada yg janji 15rb. Skr jadi 10rb. Menuju indonesia....😮
bisniscom,matius_tw,😂
bisniscom,faizalma.journey,Katanya 15rb
bisniscom,bangjack94,@gerindra ga di nego lagi
bisniscom,ruqical,Lah kemaren bukannya baru aja diputusin 15rb per porsi ya?
bisniscom,rin__rinaa,Padang ceban ya?
bisniscom,mozezpaz,Mending makan sandwich 400rb lah 😂
bisniscom,aldhysosu23,"Pak presiden pak mentri harga sembako pada naek ,ko dapet ceban ???"
bisniscom,drik_49,"Nyinyir gak bersyukur, semua berproses. Niat baik pemerintah, doankan lancar. Indonesia pemerintahannya bersih Anggara untuk rakyat makin besar"
bisniscom,widyasyarihijab,10.000 = alakadarnya..🔥🔥
bisniscom,hendra.erta,Omon2 gak sesuai omongan 🤣
bisniscom,masdhikofficial,"Mending bahan pokok jadi murah, tapi terserah si semoga lancar"
bisniscom,thosebetweenwinter,😂
bisniscom,kurnias_9,Rp 1000 aja pak
bisniscom,star_davidboy,Sekaliak aja 5rb😂sesuai tarif parkir golongan
bisniscom,susiloady,Kita tunggu sampai 7500😂
bisniscom,suarakaumgolput,KATANYA ANGGARANNYA ADA?
bisniscom,indra_w4nt0,"udh hapus aja program kurang tepat sasaran ini, ganti yg lbh bermanfaat buat rakyat, buat benerin jalan2 yg rusak akibat banjir semisal, subsidi listrik utk masyarakat bawah"
bisniscom,arylianawaty,Yo wis disyukuri aja.
bisniscom,a.anzulfikar,"10ribu, dipotong pajak daerah 10%, pph 23 2%. Semoga berkualitas 🔥"
bisniscom,chefajib,"Masih dpt pak catering segitu, tmpt resto saya bekerja dlu budget catering 10 rebu kok, seminggu sekali ada daging, biasa jg dpt ayam sayur nasi. Tp klo d kasih susu, berat dan gk mgkn sih pak."
bisniscom,digitiminimi92,"Anjirrr makin hari makin g jelas. Dan pada ngerasa gak hari2 skrg berita dan akun2 itu semuanya bahas negara.
Sad to say tp kyknya mending jaman mulyono dulu deh 😭😭"
bisniscom,andri_ram24,Angkringan
bisniscom,burhankardiman,Lama² belok kanan sighn kiri .
bisniscom,basri_babas,10 RB makanan bergizi?? Telur sebiji nasi cukup
bisniscom,tititanto67,"Ya bakso aja, dah bergizi juga."
bisniscom,hafidz_harry023,😂
bisniscom,zulfikar.alimuddin,"Sabar dikit wahai netizen...Gaji guru juga baru dinaikkan, biar 10 rb, tetap perlu anggaran ratusan trilyun.....🔥🔥🔥"
bisniscom,mgilank,"Melawak 😂
Kalau ga fisibel, mending ganti.
Lebih baik maaf timbang dipaksain 😂"
bisniscom,m.kholis45,Omon omon doang
bisniscom,a2n_9867,Nasi padang kw kl 10rb an😂
bisniscom,afif_.muhammad,10.000 gak cukup buat makan siang & susu
bisniscom,ardikum212,Bapak udah tau anggarannya mepet kenapa masih bikin kabinet yg sangat gemuk?banyak menteri wamen staff ahli baru yg gajinya bisa diatas umr.
bisniscom,irhamirhamz,6 ribu dapet nasi uduk
bisniscom,ridwanamirf,Ceban Ampe murid sisa dua rebu
bisniscom,bobbysunandar777,Td gua makan di warteg pake orek teri Ama kerang dikit 11rb
bisniscom,kholeeds,"10 ribu namanya makan ngepas, bukan makan bergizi wkwk"
bisniscom,basyetkb,Asal ga di susut oknum cukup
bisniscom,dhanvours,Terbukti bahwa semua yg dijanjikan oleh setiap pejabat yg sedang kampanye adalah omong kosong
bisniscom,aries.sw.07,"Lama2 5000, yg 5000 dr ortu murid."
bisniscom,call_me_ridle,"Batalin aja ga apa, alokasi kan ke peningkatan mutu SDM warga 58"
bisniscom,wjkom_,Lama² oky jelly sama permen milkuat
bisniscom,fendyekad0,3T : Tahu Tempe Telur
bisniscom,sukabangetmoto,bulan depan jadi marebu
bisniscom,nio_billy,Nasi uduk sebelah kantor aja gk dapet 😂
bisniscom,agraria_888,Hahaha...keberlanjutan...gas ok gas 😂😂😂
bisniscom,arhanwelll,okegfas
bisniscom,arhanwelll,okegas\
bisniscom,malikazizz666,Indomie telur sama nasi aja udah 10 rebu😢
bisniscom,anggitanovia99,Berubah lagi😂 kocak gibran
